seqnames	start	end	width	strand	source	type	score	phase	gene_id	gene_type	gene_name	level	havana_gene	tag
1	3205901	3671498	465598	-	HAVANA	gene	NA	NA	ENSMUSG00000051951.5	protein_coding	Xkr4	2	OTTMUSG00000026353.2	NA
1	3999557	4409241	409685	-	HAVANA	gene	NA	NA	ENSMUSG00000025900.12	protein_coding	Rp1	2	OTTMUSG00000049985.3	overlapping_locus
1	4490931	4497354	6424	-	HAVANA	gene	NA	NA	ENSMUSG00000025902.13	protein_coding	Sox17	2	OTTMUSG00000050014.7	NA
1	4773206	4785739	12534	-	HAVANA	gene	NA	NA	ENSMUSG00000033845.13	protein_coding	Mrpl15	2	OTTMUSG00000029329.3	NA
1	4807788	4848410	40623	+	HAVANA	gene	NA	NA	ENSMUSG00000025903.14	protein_coding	Lypla1	2	OTTMUSG00000021562.4	overlapping_locus
1	4807892	4886770	78879	+	HAVANA	gene	NA	NA	ENSMUSG00000104217.1	protein_coding	RP24-426M1.3	2	OTTMUSG00000050100.1	overlapping_locus
1	4857814	4897909	40096	+	HAVANA	gene	NA	NA	ENSMUSG00000033813.15	protein_coding	Tcea1	2	OTTMUSG00000042348.1	overlapping_locus
1	4909576	5070285	160710	-	HAVANA	gene	NA	NA	ENSMUSG00000002459.17	protein_coding	Rgs20	2	OTTMUSG00000029338.4	overlapping_locus
1	5070018	5162529	92512	+	HAVANA	gene	NA	NA	ENSMUSG00000033793.12	protein_coding	Atp6v1h	2	OTTMUSG00000050145.9	NA
1	5588466	5606131	17666	+	HAVANA	gene	NA	NA	ENSMUSG00000025905.13	protein_coding	Oprk1	2	OTTMUSG00000034734.2	NA
1	5913707	5917398	3692	-	HAVANA	gene	NA	NA	ENSMUSG00000033774.4	protein_coding	Npbwr1	2	OTTMUSG00000050228.1	NA
1	6206197	6276648	70452	+	HAVANA	gene	NA	NA	ENSMUSG00000025907.14	protein_coding	Rb1cc1	2	OTTMUSG00000033467.12	NA
1	6359218	6394731	35514	+	HAVANA	gene	NA	NA	ENSMUSG00000087247.3	protein_coding	Fam150a	2	OTTMUSG00000050239.2	overlapping_locus
1	6487231	6860940	373710	+	HAVANA	gene	NA	NA	ENSMUSG00000033740.17	protein_coding	St18	1	OTTMUSG00000024833.6	NA
1	7088920	7173628	84709	+	HAVANA	gene	NA	NA	ENSMUSG00000051285.17	protein_coding	Pcmtd1	2	OTTMUSG00000043373.5	overlapping_locus
1	8361475	9299878	938404	-	HAVANA	gene	NA	NA	ENSMUSG00000025909.16	protein_coding	Sntg1	2	OTTMUSG00000033160.4	overlapping_locus
1	9545408	9547455	2048	+	HAVANA	gene	NA	NA	ENSMUSG00000061024.8	protein_coding	Rrs1	2	OTTMUSG00000045230.1	NA
1	9547948	9580673	32726	+	HAVANA	gene	NA	NA	ENSMUSG00000025911.14	protein_coding	Adhfe1	2	OTTMUSG00000022305.3	overlapping_locus
1	9601199	9627143	25945	+	HAVANA	gene	NA	NA	ENSMUSG00000067879.3	protein_coding	AC103620.3	2	OTTMUSG00000022603.1	NA
1	9667415	9700209	32795	-	HAVANA	gene	NA	NA	ENSMUSG00000025912.16	protein_coding	Mybl1	2	OTTMUSG00000034736.3	NA
1	9718622	9748382	29761	-	HAVANA	gene	NA	NA	ENSMUSG00000045210.8	protein_coding	Vcpip1	2	OTTMUSG00000022113.1	NA
1	9798107	9900845	102739	+	HAVANA	gene	NA	NA	ENSMUSG00000025915.14	protein_coding	Sgk3	2	OTTMUSG00000045250.2	NA
1	9908638	9942085	33448	+	HAVANA	gene	NA	NA	ENSMUSG00000046101.16	protein_coding	Mcmdc2	2	OTTMUSG00000021854.3	NA
1	9960163	9967932	7770	-	HAVANA	gene	NA	NA	ENSMUSG00000099032.2	protein_coding	Tcf24	2	OTTMUSG00000044905.1	NA
1	9968624	10009136	40513	-	HAVANA	gene	NA	NA	ENSMUSG00000025916.10	protein_coding	Ppp1r42	1	OTTMUSG00000026413.4	NA
1	10024601	10038168	13568	-	HAVANA	gene	NA	NA	ENSMUSG00000025917.9	protein_coding	Cops5	2	OTTMUSG00000029459.3	NA
1	10037987	10136768	98782	+	HAVANA	gene	NA	NA	ENSMUSG00000056763.16	protein_coding	Cspp1	2	OTTMUSG00000027401.8	NA
1	10137571	10232670	95100	-	HAVANA	gene	NA	NA	ENSMUSG00000067851.11	protein_coding	Arfgef1	2	OTTMUSG00000033923.2	overlapping_locus
1	10324720	10719945	395226	-	HAVANA	gene	NA	NA	ENSMUSG00000042501.12	protein_coding	Cpa6	2	OTTMUSG00000024232.1	overlapping_locus
1	10993465	11303681	310217	+	HAVANA	gene	NA	NA	ENSMUSG00000048960.13	protein_coding	Prex2	2	OTTMUSG00000047927.1	NA
1	11414105	11975901	561797	+	HAVANA	gene	NA	NA	ENSMUSG00000057715.13	protein_coding	AC103635.1	2	OTTMUSG00000033915.2	overlapping_locus
1	12692277	12861192	168916	+	HAVANA	gene	NA	NA	ENSMUSG00000016918.15	protein_coding	Sulf1	2	OTTMUSG00000047995.3	NA
1	12866549	12992650	126102	-	HAVANA	gene	NA	NA	ENSMUSG00000025938.16	protein_coding	Slco5a1	2	OTTMUSG00000022327.2	NA
1	13113457	13127163	13707	-	HAVANA	gene	NA	NA	ENSMUSG00000042414.7	protein_coding	Prdm14	1	OTTMUSG00000017097.2	NA
1	13139105	13374083	234979	-	HAVANA	gene	NA	NA	ENSMUSG00000005886.14	protein_coding	Ncoa2	2	OTTMUSG00000021630.4	overlapping_locus
1	13564698	13589910	25213	-	HAVANA	gene	NA	NA	ENSMUSG00000025935.10	protein_coding	Tram1	2	OTTMUSG00000049113.1	NA
1	13623330	13660546	37217	-	HAVANA	gene	NA	NA	ENSMUSG00000025937.6	protein_coding	Lactb2	2	OTTMUSG00000021599.3	overlapping_locus
1	13668771	13701723	32953	+	HAVANA	gene	NA	NA	ENSMUSG00000067813.3	protein_coding	Xkr9	2	OTTMUSG00000022137.1	NA
1	14168954	14310235	141282	-	HAVANA	gene	NA	NA	ENSMUSG00000025932.14	protein_coding	Eya1	1	OTTMUSG00000049176.2	overlapping_locus
1	14753346	14755992	2647	-	HAVANA	gene	NA	NA	ENSMUSG00000025930.6	protein_coding	Msc	2	OTTMUSG00000049183.1	NA
1	14872648	14918862	46215	-	HAVANA	gene	NA	NA	ENSMUSG00000032769.4	protein_coding	Trpa1	2	OTTMUSG00000049207.1	NA
1	15287254	15723750	436497	+	HAVANA	gene	NA	NA	ENSMUSG00000092083.4	protein_coding	Kcnb2	2	OTTMUSG00000042215.3	overlapping_locus
1	15805646	15844052	38407	+	HAVANA	gene	NA	NA	ENSMUSG00000025925.14	protein_coding	Terf1	2	OTTMUSG00000047984.2	NA
1	15853862	15892722	38861	-	HAVANA	gene	NA	NA	ENSMUSG00000032719.4	protein_coding	Sbspon	2	OTTMUSG00000026417.2	NA
1	16065979	16093325	27347	-	HAVANA	gene	NA	NA	ENSMUSG00000067795.13	protein_coding	AC162442.2	2	OTTMUSG00000022165.2	NA
1	16101295	16104662	3368	-	HAVANA	gene	NA	NA	ENSMUSG00000043716.13	protein_coding	Rpl7	2	OTTMUSG00000016936.3	NA
1	16105774	16133734	27961	+	HAVANA	gene	NA	NA	ENSMUSG00000025921.7	protein_coding	Rdh10	2	OTTMUSG00000025248.1	NA
1	16228674	16520112	291439	-	HAVANA	gene	NA	NA	ENSMUSG00000025920.19	protein_coding	Stau2	2	OTTMUSG00000033135.7	NA
1	16540790	16619489	78700	-	HAVANA	gene	NA	NA	ENSMUSG00000025939.17	protein_coding	Ube2w	2	OTTMUSG00000029683.3	NA
1	16641725	16657042	15318	-	HAVANA	gene	NA	NA	ENSMUSG00000079658.9	protein_coding	Eloc	2	OTTMUSG00000048076.2	NA
1	16665207	16678275	13069	+	HAVANA	gene	NA	NA	ENSMUSG00000025940.6	protein_coding	Tmem70	1	OTTMUSG00000042171.1	NA
1	16688051	16709611	21561	+	HAVANA	gene	NA	NA	ENSMUSG00000025779.10	protein_coding	Ly96	2	OTTMUSG00000048080.2	NA
1	16964560	17097889	133330	-	HAVANA	gene	NA	NA	ENSMUSG00000042686.5	protein_coding	Jph1	2	OTTMUSG00000048149.2	NA
1	17145362	17164271	18910	+	HAVANA	gene	NA	NA	ENSMUSG00000025777.8	protein_coding	Gdap1	2	OTTMUSG00000022300.2	NA
1	17601901	17630939	29039	+	HAVANA	gene	NA	NA	ENSMUSG00000067780.3	protein_coding	Pi15	2	OTTMUSG00000048206.1	NA
1	17727045	17766344	39300	+	HAVANA	gene	NA	NA	ENSMUSG00000025776.13	protein_coding	Crispld1	2	OTTMUSG00000029743.3	NA
1	18115191	18145902	30712	-	HAVANA	gene	NA	NA	ENSMUSG00000025774.14	protein_coding	Crisp4	2	OTTMUSG00000022295.1	NA
1	18236473	18237443	971	-	HAVANA	gene	NA	NA	ENSMUSG00000073735.1	protein_coding	Defb18	2	OTTMUSG00000020949.2	NA
1	18250980	18265138	14159	-	HAVANA	gene	NA	NA	ENSMUSG00000067773.6	protein_coding	Defb41	2	OTTMUSG00000020948.4	overlapping_locus
1	19103022	19166346	63325	+	HAVANA	gene	NA	NA	ENSMUSG00000042596.7	protein_coding	Tfap2d	2	OTTMUSG00000026492.2	NA
1	19208914	19238576	29663	+	HAVANA	gene	NA	NA	ENSMUSG00000025927.13	protein_coding	Tfap2b	2	OTTMUSG00000048274.1	NA
1	20057779	20618064	560286	-	HAVANA	gene	NA	NA	ENSMUSG00000043760.16	protein_coding	Pkhd1	2	OTTMUSG00000026248.2	overlapping_locus
1	20730905	20734496	3592	+	HAVANA	gene	NA	NA	ENSMUSG00000025929.4	protein_coding	Il17a	2	OTTMUSG00000033825.1	NA
1	20777146	20790617	13472	-	HAVANA	gene	NA	NA	ENSMUSG00000041872.9	protein_coding	Il17f	2	OTTMUSG00000048286.2	NA
1	20802968	20820312	17345	-	HAVANA	gene	NA	NA	ENSMUSG00000041859.10	protein_coding	Mcm3	2	OTTMUSG00000048358.1	NA
1	20890606	20939650	49045	+	HAVANA	gene	NA	NA	ENSMUSG00000025931.15	protein_coding	Paqr8	2	OTTMUSG00000048364.1	NA
1	20951626	20990841	39216	+	HAVANA	gene	NA	NA	ENSMUSG00000041809.5	protein_coding	Efhc1	2	OTTMUSG00000029838.3	NA
1	20996299	21079229	82931	-	HAVANA	gene	NA	NA	ENSMUSG00000041779.5	protein_coding	Tram2	2	OTTMUSG00000026556.3	NA
1	21218575	21230167	11593	+	HAVANA	gene	NA	NA	ENSMUSG00000025933.15	protein_coding	Tmem14a	2	OTTMUSG00000029833.3	NA
1	21240589	21265661	25073	+	HAVANA	gene	NA	NA	ENSMUSG00000025934.15	protein_coding	Gsta3	2	OTTMUSG00000026333.4	NA
1	21349641	21352200	2560	+	HAVANA	gene	NA	NA	ENSMUSG00000067750.3	protein_coding	Khdc1a	2	OTTMUSG00000033754.1	NA
